fips,Total Households,0-10k,10-15k,15-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-75k,75-100k,100-125k,125-150k,150-200k,200k+
48369,6834,1064,1006,1014,788,638,564,476,328,432,464,360,254,1356,306,2266,3774
48375,82446,9457,9873,10463,9773,6733,5187,4827,4584,6790,6072,6576,4953,8047,2880,11801,50474
48211,2693,272,294,285,306,189,160,159,99,88,181,141,136,123,58,156,1634
48341,9577,1162,1437,1631,1316,1029,701,759,521,500,773,829,510,1880,346,2764,5765
48381,89044,9099,9674,10810,10555,7213,5420,5253,4765,4757,6195,7032,5704,6240,2427,8565,56017
48205,5141,519,762,506,552,404,357,240,257,220,465,302,238,332,142,707,3054
48011,4511,437,422,481,471,330,189,215,224,186,211,258,221,124,59,103,2718
48189,22208,2848,2834,3142,2819,1985,1577,1420,1192,1817,1567,1353,1082,3516,997,7037,11742
48111,5049,504,734,496,529,395,348,250,258,195,445,282,205,346,144,744,2940
48069,21251,2888,2647,2777,2490,1845,1572,1204,1204,1311,1425,1001,866,3289,911,6968,10965
48279,15563,2155,2033,1897,1638,1244,965,842,703,1061,977,634,575,2044,578,4695,7846
48017,6588,1014,923,861,781,592,469,387,234,404,423,325,256,1105,295,1873,3758
48065,6794,516,764,855,644,511,371,402,398,238,538,537,406,200,134,208,4284
48195,4431,487,587,617,457,327,295,248,214,186,332,294,221,373,153,605,2737
48421,3086,371,367,460,338,298,170,176,201,146,183,205,154,362,99,573,1885
48437,5502,664,620,691,697,534,384,294,263,377,375,271,280,671,217,1256,3064
48129,14796,1767,1477,1487,1481,1102,890,688,780,884,896,764,693,754,472,972,8955
48393,11910,1407,1204,1234,1233,909,766,567,637,785,766,642,591,674,449,885,7281
48087,8647,1118,1089,935,874,478,454,430,324,600,532,453,329,623,234,959,5109
48045,7687,918,834,914,858,666,473,357,373,482,477,367,349,725,216,1283,4365
48075,6831,866,889,783,691,402,349,321,271,489,411,373,241,551,185,837,4040
48101,6958,878,930,709,668,404,371,322,300,572,490,364,241,419,160,749,4123
48191,8199,1027,993,926,793,497,379,364,362,565,425,447,298,544,143,829,4809
48345,7134,897,865,857,725,499,319,320,297,464,415,431,266,585,210,1145,4071
48125,2893,391,351,287,276,216,175,146,138,160,159,102,70,324,73,510,1675
48197,2889,338,405,254,294,189,191,121,102,220,197,149,108,135,78,247,1717
48155,2280,266,242,235,207,114,136,105,86,147,153,92,60,108,44,231,1260
48153,5098,623,619,682,620,471,315,232,209,227,278,309,216,690,236,1445,2734
48269,1276,147,144,122,114,57,68,53,67,112,114,51,35,61,24,141,700
48107,9524,1323,1135,1135,994,841,580,418,555,505,528,467,300,1457,452,2626,5298
48303,123059,15433,14967,15420,14396,9761,7872,7195,6975,11539,9081,9252,6951,13936,4824,23869,73054
48219,28804,3462,3386,3432,3269,2174,1758,1613,1433,1970,1687,1671,1438,2851,866,5678,16114
48079,8962,1265,1212,1153,1176,802,594,524,376,650,645,558,448,1426,383,2534,5166
48445,8195,1096,1104,962,890,541,485,510,313,554,509,370,372,885,362,2353,4157
48165,8663,1174,1088,1051,998,753,517,487,561,454,575,403,378,1115,331,2243,4799
48501,4610,661,686,593,602,351,331,287,302,216,304,233,253,773,202,1496,2626
48169,7565,873,1002,784,727,651,525,303,398,475,488,317,235,939,292,1728,4182
48115,7201,939,910,869,743,590,474,376,430,426,390,347,281,871,334,2343,3560
48317,7872,1007,952,924,803,615,529,405,462,488,430,380,280,911,358,2463,3927
48305,19170,2163,2702,2491,2107,1688,1134,1081,930,1584,1334,1070,704,2656,778,4997,10493
48441,69281,7750,8010,8060,7553,5089,4510,3911,3831,5864,4713,4747,3540,4828,2296,8274,41485
48033,1864,219,240,231,197,185,100,112,101,71,143,107,78,240,79,417,1100
48263,8768,1208,1066,1042,817,665,427,446,468,574,548,530,368,757,254,1515,5059
48302,4914,978,737,612,445,288,237,160,167,804,398,471,235,881,474,1762,2433
48253,17273,2372,2120,1900,1591,1360,848,834,766,1357,1152,1071,756,1306,533,2112,10091
48433,4740,635,501,530,458,282,268,197,227,258,279,212,189,333,148,609,2750
48353,9686,1352,1216,1089,950,648,545,461,398,587,537,512,331,981,406,1771,5684
48335,5630,771,722,692,497,429,268,237,194,342,361,225,211,496,233,1098,3058
48415,14118,1982,1772,1773,1286,1063,674,644,660,916,922,773,577,1282,527,2673,7976
48151,12698,1764,1576,1448,1213,840,695,566,554,764,762,675,448,1160,488,2181,7390
48135,79886,9165,10425,10168,9537,6625,5750,4870,4593,7014,6242,5472,4207,9971,4231,21408,44414
48329,78578,8215,9699,10392,9671,6910,5553,4993,4697,7976,6452,6433,5018,9133,3756,17578,46652
48003,6084,769,742,750,658,427,452,428,373,427,473,346,233,710,227,1576,3333
48141,288358,33607,37106,36701,32084,23810,18976,16692,15687,23919,19106,17428,10687,39365,15889,160010,94079
48389,5727,676,720,674,503,401,256,263,188,291,295,152,78,658,269,3135,1710
48475,5501,678,707,547,570,381,259,255,278,391,414,235,201,500,198,1487,2718
48371,6811,874,848,951,825,508,346,255,369,357,412,399,264,899,395,3194,2711
48103,1682,156,218,296,183,146,150,84,76,99,107,173,48,233,69,490,888
48243,1360,152,150,155,130,63,84,65,56,50,55,85,56,51,43,280,667
48173,404,48,58,78,55,35,30,20,36,13,34,35,23,72,12,100,281
48495,3458,380,439,398,387,324,246,214,140,148,242,213,148,423,151,942,1835
48461,1634,217,219,211,182,116,76,85,79,92,105,108,69,207,62,457,871
48301,44,1,6,3,10,3,6,1,0,2,6,0,3,1,4,1,29
48043,5351,659,673,535,538,355,297,264,169,206,320,238,157,429,220,1311,2594
48229,1703,198,218,140,97,82,59,79,43,41,55,33,23,102,60,733,532
48377,3876,468,377,353,320,229,135,103,97,95,81,122,55,368,147,2004,1128
48109,1275,223,173,134,133,96,81,80,48,61,68,64,29,243,89,693,500
8059,317453,23355,33711,41642,46583,33534,24044,23179,21536,16833,27559,35533,33204,28299,14636,35791,223106
8001,200499,17969,24045,29543,30246,20332,15780,14368,13726,19859,20394,24778,18726,23758,9982,39211,126410
8005,311798,23724,34436,41424,47935,34920,25619,24722,24334,33962,29456,38921,34540,29306,18436,35603,226158
8200,18466,1800,2545,2652,2782,2206,1651,1293,1193,4419,1968,2623,1824,1700,1271,2607,11890
8031,433867,42468,50911,55022,57472,43855,35030,33298,31632,49839,39732,44137,34109,48641,24560,80015,279274
8013,180961,13954,18849,22587,26617,19169,13835,13191,12809,8871,14910,21122,20371,16067,8626,16215,133032
8123,139576,12854,16479,19791,19903,13286,9949,9364,8860,7794,12433,15399,12922,15217,5890,22058,92303
8069,170209,13854,19370,21726,23270,15287,11436,10495,10672,8182,14214,16952,15358,12590,5912,13604,117093
8039,30646,2085,3010,4307,5318,3386,2497,2166,2120,1656,2690,3902,4334,2743,1880,2072,24310
8055,16610,1022,1822,2044,2486,2088,1201,1071,1602,635,1423,1695,1934,1781,998,2081,13191
8035,88312,4375,7606,11331,15600,11893,8432,8161,7904,4050,7051,11652,13687,10599,7063,8460,75148
8041,284560,25725,32996,36549,38523,27054,20252,18164,17701,25409,24634,27117,23801,21432,13715,31844,187132
8036,8893,482,743,952,1430,1202,987,850,909,420,680,944,1336,947,855,852,7764
8056,20051,1191,2174,2623,3155,2332,1535,1621,1563,1136,1967,2556,2604,1817,1065,1693,15655
