fips,Total Households,0-10k,10-15k,15-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-75k,75-100k,100-125k,125-150k,150-200k,200k+
72001,10952,1026,682,443,330,235,152,137,55,104,84,80,30,145,192,5973,3040
72003,53603,5885,3973,2985,2074,1429,966,946,696,2255,1158,708,323,2560,2226,33139,15716
72005,31899,3547,2302,1890,1419,976,700,613,551,1648,892,545,305,1884,1578,20367,9774
72011,21773,2259,1808,1268,893,700,399,334,154,789,425,168,126,690,772,13138,5810
72013,50035,5097,3929,3281,2361,1483,1099,926,738,2395,1496,645,355,1274,1402,30452,12794
72017,12049,1386,1020,696,557,353,326,176,201,601,335,130,82,853,730,8025,3674
72023,30180,3422,2450,1997,1329,1004,602,547,416,1097,755,438,192,958,1026,18372,7281
72027,26782,2805,2084,1466,1034,676,458,373,289,644,368,292,171,570,513,15269,6488
72081,20606,1827,1266,957,585,439,219,120,132,284,186,81,6,204,247,11072,5759
72039,10827,1198,738,471,297,301,151,167,95,269,164,68,33,190,213,6078,2812
72051,14842,1896,1466,1311,1175,949,505,376,344,1713,788,640,312,1175,956,11151,4005
72651,14842,1896,1466,1311,1175,949,505,376,344,1713,788,640,312,1175,956,11151,4005
72055,11880,1218,799,647,412,332,163,105,83,514,299,127,55,473,622,7524,3819
72054,7173,588,540,459,269,174,131,55,22,156,91,50,46,101,159,3968,1766
72059,11251,1139,881,724,503,424,237,202,105,456,271,108,53,828,707,7410,3419
72065,21939,2479,1826,1340,814,568,375,340,284,624,437,172,140,629,679,12851,5237
72067,9559,1083,860,715,538,388,351,219,172,555,195,153,58,426,259,5909,1814
72071,24129,2639,1780,1289,908,705,540,397,249,926,517,254,168,773,886,14618,6378
72073,9136,845,550,551,306,244,158,140,76,209,178,33,25,165,175,5161,2356
72079,15041,1632,1205,744,625,486,285,214,178,551,275,199,137,723,641,9424,4246
72083,6652,614,422,303,197,132,77,55,27,113,82,22,35,126,83,3621,1907
72145,34359,3653,2680,2197,1798,1221,777,706,505,1831,995,609,249,798,870,20679,7989
72095,4574,888,498,381,339,181,101,117,42,1150,567,242,142,351,474,4118,1837
72113,10732,1315,902,746,552,395,274,267,196,659,402,271,162,548,678,7503,2970
72099,19331,1925,1662,1409,1135,932,520,593,410,1272,768,431,276,819,1057,12839,4909
72101,13657,1454,1135,929,572,571,292,239,207,872,582,186,134,380,870,9222,4136
72103,11696,1489,968,766,549,363,277,186,175,974,476,251,99,733,670,8067,3707
72105,15872,1828,1380,811,538,409,308,201,216,501,305,117,72,259,335,9083,3673
72107,11492,1407,814,670,279,302,161,107,101,335,219,143,36,723,620,7293,3724
72109,8592,1223,884,699,490,399,311,138,127,822,371,173,133,498,1234,7196,3090
72069,22764,3648,2692,2272,1408,1146,953,657,674,3589,1453,841,488,2565,2044,19032,7074
72123,11444,1297,1054,807,514,334,292,217,149,984,449,222,98,924,765,8154,3730
72129,20639,2418,1785,1455,1007,517,479,397,275,999,539,210,53,1250,1124,13582,5773
72133,9570,1360,903,711,458,351,274,149,195,784,450,166,108,897,706,7006,2970
72147,4892,567,368,247,197,127,120,38,68,530,281,73,39,293,210,3348,1888
72149,12579,1362,959,847,512,346,349,208,120,488,234,105,56,371,772,7999,3549
72151,15833,2425,1706,1358,875,664,506,332,234,1455,668,283,200,1765,1969,13104,5459
72127,251433,29299,26368,23295,18268,13780,10069,8540,8007,30492,17690,10861,6508,20172,16906,192934,68910
72021,214,7,12,37,18,22,9,25,12,13,12,19,7,7,0,40,90
72137,37034,4627,4036,3621,2770,1863,1578,1298,1091,4249,2000,1268,535,2862,1813,26984,8391
25013,220300,24217,27037,29289,27894,18502,13638,11742,11772,21755,18068,21040,17720,20736,11136,25854,149242
25003,99287,9269,10933,11485,10455,7798,5887,5212,4940,4470,6202,7858,6358,3876,2421,2825,65106
25011,55374,5418,6129,6584,6492,4310,3143,3184,2497,2585,3400,5025,4143,2321,1662,1839,36516
25015,75166,6681,8888,9358,9267,6484,4834,3994,3731,3760,5530,7606,6331,3918,2424,2552,51718
25027,452975,39924,48566,55639,61638,43663,30868,29251,26493,24949,32260,46886,44658,33320,19596,29484,324156
25017,601658,48846,61062,72781,87542,64956,47520,46621,45927,38369,43863,77392,70105,51248,35027,41581,459988
25025,329136,41895,37728,43713,45308,34308,25828,23212,24303,69380,33034,50682,34883,37564,28270,48385,230065
25100,5161,236,406,578,703,588,612,514,744,158,334,525,600,536,481,409,4937
25009,369891,34942,39431,45398,52337,37275,26034,25384,25201,21208,26072,37031,38704,35022,19020,35532,272930
25021,267968,20254,26395,33062,41042,29669,21706,19988,19322,18157,19340,32609,32047,21824,13809,15240,205250
25023,187600,14093,19055,23854,28142,18979,13087,12044,11794,8551,13797,18877,22230,14103,8034,6684,143388
25005,297437,30260,32705,37365,36859,23540,16946,15943,14795,15444,20538,28520,25734,17440,11917,11764,203989
25065,10871,925,851,1149,1393,1232,832,970,1646,1105,674,2401,1701,1223,858,1188,9725
25125,26981,2200,2319,3200,3976,2946,2019,2236,2525,1859,1781,4321,3867,2344,1597,1893,22088
25030,16110,1275,1468,2051,2583,1714,1187,1266,879,754,1107,1920,2166,1121,739,705,12363
25040,16110,1275,1468,2051,2583,1714,1187,1266,879,754,1107,1920,2166,1121,739,705,12363
25050,10055,662,873,993,1626,1470,1073,966,967,1200,642,900,1196,1108,733,788,8656
25033,5420,402,635,664,947,481,404,275,341,256,484,576,743,392,229,200,4081
25001,194037,17629,21269,24258,23640,15382,11944,10486,10789,10003,14186,16953,15620,10502,6885,6271,132638
25007,30014,2603,3390,4028,3933,2494,1931,1787,1590,1680,2634,3277,2862,1441,1179,1007,20954
25019,4820,361,433,492,618,474,379,371,464,233,333,434,478,339,219,276,3680
44009,63146,5052,6865,8258,8595,6049,4262,3539,3510,2849,4931,6641,6515,3800,2220,1789,46255
44001,26962,2230,2741,2925,3367,2435,1795,1631,1738,883,1649,2134,2369,1523,851,902,19317
44003,105791,9300,11895,12854,13162,8205,5924,5726,5853,4618,7657,9740,8960,4321,2502,2444,72564
44007,315566,36579,38073,38538,36664,25054,19188,18041,16385,25376,24349,29131,23046,25690,15876,31264,206578
44005,43018,4636,4775,5187,4875,3631,2725,2408,2412,2913,3466,4251,3636,2557,1859,2250,30345
44020,16146,1727,2001,1881,1720,987,951,777,872,887,1237,1035,1021,574,465,634,10181
44119,9816,803,1014,1230,1354,908,754,541,717,502,768,1066,1073,628,427,282,7349
44008,12352,1080,1468,1490,1402,969,750,619,727,648,971,1191,901,563,318,234,8373
33011,189706,14422,20502,24741,26863,17558,12687,12472,10940,9225,14789,21090,19340,11332,6591,7718,137414
33015,188768,14037,19636,24444,27172,17218,12882,11977,11305,8548,14424,19708,20325,10980,6696,6666,138524
33013,110138,9512,11966,12993,13479,8279,6856,6194,5902,5105,8230,9710,8763,3763,2620,2522,74518
33009,49505,4469,5257,5585,5333,3572,2851,2913,2843,2123,3545,3616,3142,1428,1105,1090,32743
33001,39643,3018,4475,4660,4794,3006,2370,2145,2339,1679,3140,3258,2989,1209,754,567,26930
33003,28594,2360,3015,3302,2911,2098,1631,1658,1510,1090,1929,1940,1494,747,530,427,18674
33019,24546,2231,2670,2812,2496,1702,1363,1408,1268,995,1840,1816,1406,587,314,265,16057
33005,47832,4083,5198,5799,5296,3491,2963,2555,2449,1905,3646,3910,3253,1371,817,775,31945
33007,22851,2377,2608,2444,1839,1455,1078,1081,1000,835,1293,1371,783,343,235,131,13846
33031,15138,1303,1591,1854,1806,1293,881,905,831,702,1047,1438,1230,579,489,432,10279
33017,56875,5074,6262,6685,6830,4428,3263,3003,3246,2650,4153,5068,4464,2059,1067,1105,38286
23031,109815,9757,12186,13329,12720,7967,6019,5565,5631,4565,8296,9206,7818,3001,1993,1605,73411
23005,172957,14575,18699,19548,19866,12852,10065,10019,10040,6882,12403,13591,12417,5767,3630,3224,116821
23023,21174,1764,2580,2431,2249,1506,1288,1170,1042,921,1637,1745,1393,622,337,286,13989
23017,36742,3721,3908,3771,3577,2319,1877,1619,1620,1353,2089,2004,1594,491,341,270,22368
23001,73710,7445,8142,7873,7295,4549,3672,3277,3632,2723,4891,4534,3321,1282,887,725,45824
23007,21070,2212,2156,2150,1973,1195,1092,956,877,772,1022,1072,815,235,172,148,12591
23011,80819,8432,9114,8314,7599,5270,4257,3773,3771,3129,5332,4769,3853,1473,1087,677,50633
23015,22222,2117,2306,2256,2307,1659,1186,1070,1190,962,1411,1297,1157,554,285,194,14191
23027,29594,2810,3188,3237,3029,1935,1598,1430,1333,987,1845,1835,1589,607,478,304,18533
23019,97743,10798,10240,10332,9150,6174,5012,4373,4346,3526,5620,5999,4496,1838,1230,887,60240
23021,17679,1975,1795,1770,1437,928,846,817,670,502,786,735,497,161,119,94,10187
23009,41125,3939,4325,4350,4223,2776,2342,2132,1782,1506,2342,2614,2121,959,590,401,25859
23029,23131,2950,2637,1990,1876,1364,1042,864,723,612,1446,963,684,317,213,180,13264
23003,52728,6362,5677,5185,3993,2984,2424,2247,2046,1580,2786,2426,1506,484,383,298,30809
23025,49527,5203,5186,4930,4432,3312,2325,2084,2124,1624,2524,2431,1769,724,417,281,29553
23013,27115,2509,3032,2639,2631,1705,1574,1559,1283,950,1720,1519,1276,541,325,329,17031
50005,28415,2839,3087,3184,2796,1810,1435,1396,1400,1175,1780,1824,1420,420,483,337,17875
50027,46628,4501,5053,5255,4864,3280,2511,2274,2293,1939,3114,3077,2545,1101,771,639,30251
50017,32463,2966,3551,3830,3515,2224,1788,1599,1428,1331,2240,2359,1906,723,446,487,20710
50025,31296,2810,3598,3575,3082,2242,1767,1533,1487,1271,2128,2088,1655,748,546,471,20067
50003,23788,2248,2405,2678,2434,1621,1380,1208,1321,930,1478,1566,1351,622,456,447,15465
50021,43434,4181,4659,4872,4338,2875,2243,2153,2039,1749,2793,2866,2039,823,568,475,27433
50007,90941,7540,9084,11151,11823,7273,5809,5442,5130,3979,6552,8605,8050,3959,2412,2131,63177
50013,4121,340,431,497,471,309,243,216,241,157,281,356,285,133,73,61,2783
50011,31531,2737,3464,4229,3516,2099,1759,1599,1753,1440,2499,3006,2090,799,596,251,20880
50001,26910,2371,2937,3036,3050,1919,1519,1561,1430,1204,2064,2017,1834,659,507,352,17864
50015,15305,1225,1617,1747,1612,1251,924,882,793,589,1056,1036,959,439,328,196,10043
50019,20827,2320,2234,2175,1642,1395,1059,875,865,866,1146,1075,672,259,234,171,12517
50023,36403,3323,3912,4245,4125,2658,2088,1868,1646,1502,2481,2706,2412,1050,646,687,23678
50115,2765,290,254,373,284,142,107,159,129,122,159,220,92,36,44,25,1739
50009,4319,403,470,491,321,267,238,195,181,115,223,241,103,36,73,19,2525
9003,434378,37085,49005,59532,65891,48101,34089,30829,30555,57702,38352,50493,47388,46530,27261,49574,319899
9005,114125,8200,12303,14829,16464,10873,7460,7019,7177,5713,8531,11674,11779,7392,3948,4975,82968
9013,107018,8215,11580,13522,16014,11286,7730,6807,6225,6822,8408,11968,12240,8622,4726,6604,77651
9015,88536,7672,10216,11337,11835,7424,5250,4933,4447,4599,6575,9029,8014,4987,2895,4203,60322
9050,431,47,46,16,61,53,15,37,53,18,24,24,14,66,48,87,348
9011,129825,10642,13939,17566,18209,12480,9140,7799,7633,9874,10701,14459,13065,8303,5714,6562,92317
9007,127006,9064,13515,16500,19780,13389,9136,8678,8065,9916,9903,13888,14983,10188,5928,8017,93626
9001,524228,39339,52433,64587,76863,57989,43000,45911,58260,63737,43046,61596,58299,52767,35580,63417,419306
9103,192,17,24,23,20,11,17,12,11,4,19,17,8,9,10,5,137
9009,488298,42266,54501,64545,72218,51203,36624,34269,32703,62855,42364,55198,52093,45422,27934,49517,351854
9100,11389,775,852,1038,1285,1053,867,936,2655,684,660,1128,1039,1027,729,1231,10908
34023,309395,24430,33248,42454,51476,41952,31821,31116,28769,41397,28024,66314,38377,36641,21634,42082,229626
34017,249978,33711,32881,37232,37715,29578,23322,23637,20109,54845,28497,43669,21048,48755,27508,106229,137526
34013,226664,26477,29410,35841,41600,34389,24659,23692,27395,128222,39324,42580,29281,38976,29864,60525,175089
34027,216036,12217,18690,25618,33909,27146,20333,22558,24564,13958,16123,32792,28063,22749,15018,24731,180185
34003,394357,27907,38351,46732,59445,48860,36428,38907,43219,35156,30913,67410,46815,40061,27512,51431,306742
34031,167191,15781,20973,24863,28744,22484,16065,15993,14859,30943,18087,22645,19498,33351,15490,46566,118137
34039,212597,18371,24437,30955,36659,30271,21590,20967,22070,65642,22121,29883,24453,27868,19970,47497,154925
34035,154752,9877,14547,19843,24888,21443,16253,18185,21335,26583,13086,26022,19147,18185,13164,23297,132309
34037,75923,4900,7484,10048,12531,8630,5548,5306,4944,3393,5796,8624,10308,6769,3533,4260,58821
34025,295657,21191,28042,36685,45158,34141,25808,25106,25221,29183,22444,37609,34846,26580,18336,27159,230178
34041,77179,5625,8018,9911,11739,8012,5431,5151,4806,3838,5814,8382,9248,5889,3495,3878,58010
34019,80517,4474,7115,10172,12635,10035,7175,7697,7534,4422,5717,10076,10385,8065,5394,6983,66726
34029,291356,21806,30590,36551,38516,25830,18738,16797,15429,15545,19719,26148,25631,15160,8172,12032,197590
34033,58027,5234,6505,8529,8257,6077,3725,3357,2904,10174,6146,6841,6197,4329,2558,3370,40420
34007,236952,21138,26956,34154,35721,25912,18755,16861,15708,42014,22093,30200,25195,23230,13644,23554,172657
34001,152898,14714,18464,22392,23313,16248,11447,10526,10315,27157,15288,19962,15442,15058,8376,18205,106771
34009,79717,5960,7754,8942,10200,7511,5865,5335,6331,5422,5116,7266,6919,4705,2932,3592,58269
34005,223511,16446,24363,31345,36270,27334,18094,16019,14717,32862,19185,26743,26285,18281,11451,13196,166284
34015,179529,14766,20044,25977,28817,19813,12713,11553,9815,24364,16116,21289,20882,14198,7644,12178,128374
34050,10589,1029,1257,1663,2167,1410,933,790,536,3388,1148,1460,1662,1037,733,840,7984
34011,56745,6058,6996,8259,8057,5708,3738,3348,3199,10566,6075,6219,5020,5974,2953,8489,37080
34021,136274,11398,14197,18810,21797,17603,12212,12393,12888,29384,13654,20686,16547,16167,9986,16871,106701
36061,698243,87929,87369,96019,100171,86452,65369,70230,99346,192961,94957,133143,76636,145989,94566,253080,566054
36067,346379,32025,37808,42741,40749,28970,20982,19835,17853,30765,27907,34282,27318,18352,12706,17426,230962
36050,29040,4109,4364,4201,4373,3516,2508,2894,5481,15559,7110,5079,3365,8643,5903,16178,27093
36085,173610,16510,19686,23165,26668,19987,13696,13118,11565,21699,16795,25307,20792,18132,11355,21820,125341
36005,258069,56194,51300,54797,52114,43157,28720,25670,22199,192988,65167,44941,25869,116841,71219,234564,167475
36065,161918,17417,19125,19169,17630,12207,9059,8303,7239,16749,13609,12321,9367,9616,6569,15394,102076
36003,80597,8367,9337,8938,8254,5905,4558,4102,3560,3958,5422,5940,4304,3357,2039,5375,48223
36119,336820,26813,34389,40469,50427,42655,30879,34441,47589,60934,31533,44572,37162,43613,29964,62676,276990
36079,50711,3075,4738,6565,8244,6880,4514,4308,3583,2629,3811,6287,7074,5569,3466,4476,40986
36190,7258,317,527,589,769,611,530,768,2126,292,399,587,585,522,487,956,7623
36087,138990,12571,14525,17759,20856,18397,12935,12697,11290,26722,11264,17227,14671,13556,10247,15387,102966
36007,168936,15149,18660,19070,18044,12890,9568,8673,8022,8723,11375,13112,10661,5604,3623,3558,108564
36071,139907,11804,15673,18379,20909,14588,9954,9101,8157,13323,12504,15460,15280,12169,6994,13640,97722
36097,49218,4015,5371,5836,5489,3817,2974,2969,2270,2195,3274,3867,3245,1632,1002,1047,32269
36059,626119,46853,63141,80343,100305,81498,60618,60733,63216,85088,53974,92990,75504,73460,48691,91999,487308
36081,603694,83818,90020,100253,102993,88048,68048,61867,53716,190755,76406,177966,63157,108791,79124,193328,370966
36047,687088,119094,103680,107703,108178,84612,61422,52056,48547,353080,118160,124133,68551,127919,97171,213811,455883
36181,20031,2397,2630,2509,2491,1900,1537,1304,1070,1349,1639,2626,1595,1916,1930,3503,12201
36049,59166,8155,8381,8045,6794,5107,3859,3435,3014,20379,8933,5077,3618,7088,4548,10760,37827
36004,44492,6750,5439,4136,4252,3249,2537,2109,1858,1741,2244,5035,2595,2328,1909,3172,26984
36048,44492,6750,5439,4136,4252,3249,2537,2109,1858,1741,2244,5035,2595,2328,1909,3172,26984
36017,55265,6798,7320,7821,8350,6567,4445,3663,3014,24069,5796,5116,3491,3116,3297,4843,34951
36103,609277,41715,59532,81263,100937,75863,51482,50625,45842,52871,49827,76718,81665,63951,38494,65889,469633
36053,82243,6418,8860,9706,10246,6596,5195,4965,4465,3497,5873,7014,6564,3222,1914,2035,55727
36056,10747,883,1108,1745,2140,1700,1405,1252,1083,3462,1127,2156,1544,1467,1098,2150,7903
36100,5154,252,451,794,941,623,333,365,266,155,346,786,739,491,219,386,3755
36093,125749,10452,13606,15289,16204,10980,7493,6965,6206,7922,9196,11809,10645,6370,3750,4756,84884
36001,209816,17688,23070,26001,26604,18687,13611,12329,11072,20928,17690,21339,18067,11020,7519,8427,143312
36035,64710,6146,7489,6741,6313,4180,3358,3067,2605,2475,3885,3540,2892,1321,742,1629,38943
36057,49279,4714,5615,5460,4902,3434,2590,2343,2038,1991,3122,3066,2393,1316,621,1515,30153
36091,170962,14043,18454,20475,21522,14029,10530,9088,8880,7818,12129,14774,14275,7117,4021,4525,115584
36039,33315,3237,3525,3780,3413,2639,1709,1669,1585,1643,2118,2327,1897,1073,481,797,21232
36089,77106,8096,8271,8318,7009,4889,3830,3445,3312,2566,4733,4517,3376,1312,832,674,46810
36021,49919,4119,5536,5873,5576,3828,3177,2813,2762,2692,3643,4052,3502,1758,1219,1377,33558
36083,87808,7749,9528,11252,10697,7216,5504,4578,4095,6256,6529,8600,7164,3986,2520,2310,59574
36095,24963,2243,2732,2684,2652,1817,1485,1240,1158,967,1745,1669,1470,668,330,425,15898
36115,54366,5057,5886,6234,5258,3855,2884,2593,2603,2280,3502,3680,2679,1116,644,525,34294
36041,4169,364,425,405,378,287,230,221,188,128,211,193,123,83,48,37,2508
36077,55193,5218,5931,5530,5234,3951,2949,2644,2473,1988,3245,3077,2266,1034,643,751,33743
36025,54588,5410,6098,5329,5021,3847,2894,2458,2348,1878,3243,2918,2149,1138,641,760,33136
36092,14041,663,1277,1900,2564,1579,896,1128,1035,638,965,2023,1965,1092,601,617,10966
36111,103710,9358,11507,12423,12735,8903,6193,5683,5184,6644,7778,8886,8090,5350,3190,4737,68777
36027,125499,9990,13342,16324,18839,12968,9441,8541,7543,12477,10404,14744,14399,9071,6251,8409,90698
36105,46830,4315,5310,5509,5271,3606,2762,2585,2183,3485,3446,3579,3136,2219,1316,2660,29726
36029,529686,48661,60260,64654,64896,43428,31148,27927,25471,68061,49128,49005,43628,25596,16580,20182,352699
36113,29535,2806,3128,3345,2729,1970,1453,1456,1342,1175,1693,1744,1144,546,328,298,18272
36973,465,39,48,68,55,56,17,21,26,25,23,58,23,40,4,13,339
36031,32759,3329,3418,3306,3026,2136,1794,1571,1563,1213,1762,1730,1513,617,393,300,20084
36019,47826,5103,5364,5186,4823,3137,2276,2365,2040,1953,3258,3178,2793,1056,561,570,30209
36033,32330,3442,3625,3465,3062,2183,1401,1611,1269,1154,2860,1892,1247,588,389,346,19544
36011,118311,11206,13141,13586,12388,8696,6450,5747,5437,4808,7639,8669,7255,3531,2315,1938,76081
36075,79780,7647,8696,9008,8248,5493,4291,3635,3488,2969,4839,5528,4526,1923,1045,959,50189
36023,38240,3754,4311,3977,3701,2644,2077,1709,1817,1480,2462,2319,1991,809,686,480,24033
36109,73927,7732,8325,8005,7427,5424,4300,3562,3708,3577,4726,7007,4554,2684,2399,2237,47574
36045,73303,7515,8282,8038,6960,4782,3884,3533,3311,3822,4233,4381,3325,1787,1170,1635,44699
36117,102229,7680,10717,12895,15003,9291,6751,6001,5650,5466,7732,10157,10748,5693,3252,2950,73175
36099,41981,3532,4858,5193,4741,3094,2305,2040,1724,2331,2982,3207,2739,1115,650,871,26855
36068,1619,401,185,119,145,55,28,33,50,1284,701,348,270,185,124,270,917
36043,109278,12206,12080,11613,10330,6873,5415,5109,4126,6892,6843,6803,5092,2488,2044,2225,66873
36069,101987,7602,10759,12760,13074,8741,6457,6079,6533,5109,7564,9443,8745,4899,2799,3143,72060
36107,61050,5053,6865,6616,6786,4421,3636,3115,2811,2697,3942,4044,3737,1603,1167,803,38964
36037,56218,4624,6418,7123,6455,4063,3183,2883,2702,2830,4603,4932,3861,1460,981,612,37184
36063,135422,12408,14782,16698,15276,10494,7990,6145,5686,10368,10582,11032,9502,4368,2970,2280,87909
36121,45024,3553,5057,5767,5194,3312,2481,2370,2269,2118,3376,3899,3046,1313,595,436,30078
36009,70942,6384,7914,7844,6757,4855,3867,3663,2965,2810,5483,4586,3177,1515,802,734,43564
36073,45986,3785,5396,5829,5298,3405,2742,2322,2040,2566,3745,4003,3178,1459,671,809,30186
36013,88302,8478,10025,9532,8286,6074,4676,4152,3893,3883,5791,5213,3692,2441,1408,2190,54230
36051,59819,4410,6886,7590,7103,4358,3555,2975,3243,2594,4505,5077,4461,1981,1068,852,40043
36055,383969,32697,42076,50196,52981,36069,26901,23123,22102,50250,35914,41208,38330,26449,17474,22454,270481
36123,30767,2783,3240,3685,3327,2123,1752,1543,1342,1767,1926,2116,1816,768,427,807,19365
36101,76811,6778,8256,8448,7757,5091,4347,3988,3487,3008,4668,4877,3817,1581,1076,859,47877
36015,79870,7325,8610,8590,8253,5400,4409,4285,3716,4109,5265,5412,4175,1704,1323,1077,50153
42007,143270,12636,15905,16910,15470,10645,7400,6769,7113,9496,9828,10818,8696,3944,2402,1752,92496
42009,68323,6350,7365,7578,6544,4919,3574,3189,3145,4107,4449,4629,3367,1396,794,638,42449
42003,851843,77798,91687,100409,99129,66165,49837,45995,45420,93193,67184,73702,62379,33222,22828,20191,566378
42125,176164,15642,19477,19449,19414,13278,9770,9423,9021,9104,11873,12340,11072,5791,3446,3064,116090
42051,154062,17353,17016,15660,14590,9853,7264,6155,6204,7858,9091,8040,6664,2697,1630,1620,93329
42129,288909,25899,31244,32884,29795,20538,15218,13528,12928,12972,17623,18995,15070,6932,3640,2870,182171
42019,114852,10263,12178,13190,12681,8253,6348,5932,5896,4470,7272,8060,7310,3538,1851,1484,75264
42002,19350,1661,2311,2348,1995,1294,1026,924,762,1738,1174,1258,853,367,232,215,11806
42033,96896,9975,10380,10193,8824,6159,5053,4618,4255,8489,7227,6133,4130,1789,1390,1052,58501
42059,26770,2792,2986,2868,2461,1638,1272,1080,975,788,1329,1511,1024,428,236,198,16010
42111,82777,7878,9106,8535,7257,5194,4474,3756,3684,2993,4574,4161,2985,1068,530,505,50241
42057,19101,1848,2061,1928,1652,1366,1105,883,918,812,1242,1067,780,345,194,163,11727
42005,77912,7410,8397,8214,7365,4977,3924,3737,3363,2948,4229,4149,3223,1340,703,448,47335
42063,78659,8257,8396,7754,6818,4879,3952,3375,3124,2614,3954,3793,2717,1082,677,468,46567
42065,49982,4562,5301,4939,4462,3121,2690,2442,2322,1476,2585,2492,1817,605,434,252,29920
42021,117631,11301,12516,11971,10727,7383,6147,5340,5445,4750,6000,5732,4350,1797,1198,1244,71354
42047,27912,2330,3385,3434,2930,1577,1408,1339,1128,993,1840,1995,1478,420,148,187,17432
42053,6844,744,691,729,544,409,333,256,300,243,329,303,169,90,57,31,4004
42031,36676,3792,3893,3675,3179,2283,1925,1568,1470,1197,1984,1682,1226,432,247,181,21790
42023,5030,457,544,534,443,287,291,239,197,157,294,284,141,44,19,23,2988
42083,33228,3405,3793,3418,2950,1968,1833,1415,1457,1225,1956,1854,1223,452,257,202,20180
42013,102795,10301,11472,10332,9172,6625,4973,4886,4703,3877,5925,5558,4002,1618,739,732,62394
42073,87971,8579,10006,9401,8275,5886,4403,4372,3863,4089,5785,5221,4210,1840,1019,850,54542
42121,63989,6288,6998,6873,5626,3918,3432,2904,2788,2222,3731,3367,2443,1017,533,360,38905
42085,90431,8401,9755,9772,8972,6094,4923,4350,4263,5238,6083,5603,4282,1819,994,959,56233
42039,85960,8247,9199,9315,8072,5617,4501,4126,3892,3407,5007,5121,3754,1598,995,743,52930
42123,44555,3955,4782,4912,4037,2884,2295,2187,2071,1457,2589,2581,1689,685,358,320,27181
42049,167928,16005,18462,19213,17237,11806,8820,8319,8387,11380,11440,12336,9475,4639,2902,3405,106430
42061,44891,4572,4900,4663,3985,2969,2197,1963,2074,1839,2689,2436,1681,677,327,246,27301
42027,85312,8712,9315,9451,8329,5993,5015,4040,3780,3725,5119,7298,5045,2544,1718,1557,54183
42105,19362,1866,2255,1954,1600,1135,1013,960,842,631,1191,991,609,210,152,128,11611
42035,34324,3396,3613,3775,2880,2097,1793,1599,1445,1199,1776,1824,1064,496,282,228,20607
42117,36099,3515,3955,3703,3288,2200,1908,1586,1540,1290,2002,1781,1287,426,301,211,21680
42015,46475,4272,5069,4723,4355,3096,2469,2434,2067,1545,2852,2543,1921,760,484,384,28517
42081,93018,9067,9932,9665,8537,6244,4943,4587,4021,4638,5491,5160,3725,1920,1094,846,56868
42087,36209,4076,3682,3488,2946,2025,2020,1612,1642,1379,1909,1633,1126,454,202,208,21463
42075,99525,7552,10952,12442,11897,7941,5949,5415,5531,4551,7586,9138,7406,3763,1747,1814,67253
42043,160235,14158,18062,20979,20567,14538,10158,8986,8807,22669,13831,16265,13496,8700,5180,6613,109328
42099,27731,2430,3295,3182,3070,1868,1559,1274,1378,1250,2061,2104,1701,672,311,162,18044
42041,144870,11506,15469,18075,17839,12369,8920,8202,8104,7508,10687,13791,11884,6246,3055,3014,99803
42014,18733,1318,1838,2338,2287,1778,1242,1367,1111,823,1338,1921,1513,1046,557,569,13255
42133,280933,21885,32091,36332,34975,22846,17454,16132,15291,17144,23445,27724,22695,12323,6232,7425,193897
42097,87767,8555,9861,9263,7714,5418,4324,4154,3805,3135,4787,4921,3135,1353,556,654,53092
42001,86381,6818,10429,10947,9943,6104,4912,4752,4453,4353,7253,7910,5764,2726,1187,1620,57560
42055,87535,7909,9745,10322,9218,6324,4969,4484,4201,4895,6529,6780,5149,2244,1026,1321,56389
42067,23639,2062,2692,2423,2341,1510,1355,1049,1156,863,1520,1394,1042,349,181,233,14623
42071,269531,21922,30365,35072,33516,22621,16469,16144,16038,17012,21898,26556,21524,14147,6505,12288,185318
42011,253952,20425,29377,34052,33351,21755,15379,14616,13883,16557,20725,24813,21964,15880,7641,14406,175142
42045,299096,25076,30817,38594,43718,32238,22586,21891,22855,51930,24951,35279,31985,21522,15702,16793,227585
42109,32811,2932,3641,3518,3034,2113,1968,1583,1704,1300,2132,2099,1453,581,286,253,20648
42029,226447,14788,21569,27787,34520,25790,18541,18158,19322,19152,17775,24673,27342,19092,12131,14527,180782
42017,387323,27589,39777,50834,56931,41050,29200,27504,25630,25708,29847,44800,43385,29490,17171,21384,291231
42113,44734,4654,4936,4406,3959,2890,2329,2125,1830,2776,2672,2268,1651,915,606,497,26932
42037,76858,7173,8410,8013,7489,5200,4129,3731,3521,3041,4644,4499,3488,1580,787,723,47702
42093,51623,4644,5777,5525,5081,3456,2696,2599,2426,2064,3174,3221,2403,1131,596,597,32239
42119,29949,2638,3406,3356,3001,2006,1728,1421,1640,1078,2121,2111,1659,747,419,503,19389
42079,252077,25690,27713,26503,23784,16379,12659,11741,10996,9370,14121,14529,11733,5123,2859,2758,155183
42107,129785,13318,15369,13475,11360,7599,6276,5891,5560,4419,7605,6953,4721,1875,1037,1311,78664
42077,232886,19790,26847,30285,28763,20623,15081,13962,12970,13171,17543,22326,18230,16285,7819,17456,157301
42025,74406,7656,8590,8007,6680,4692,3891,3441,3256,2786,4657,4284,3088,1373,779,1121,45525
