fips,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
40087,4914264,206026,213638,228963,2656,72103,227490,164302,3732473,8012,782,1643,940,859,981,1515,5497,10082,12919,2226,1491,3473,11689,4504,547778,416019
40017,3622559,72859,214580,6544,498,59309,80239,122896,3009481,6457,660,1382,1149,902,720,1066,5373,8373,10504,2219,643,3642,9100,3963,402192,335479
40075,1821870,381517,106203,6286,932,74820,60644,135233,1019286,3108,352,739,388,412,592,617,3756,4558,6482,1223,1602,2923,5775,4422,203086,113781
40149,2299701,54357,108529,22085,330,77505,68910,132378,1784401,5217,460,1179,731,764,724,1005,5020,6902,8599,2573,894,4277,8296,4565,253737,199177
40073,551057,7256,12116,118,67,21768,23686,24224,441033,1325,166,255,186,135,179,326,4041,1838,3277,400,177,2520,3553,2411,59560,49230
40107,1108190,67287,156209,177,613,6241,34190,22976,789323,2569,295,436,377,247,307,690,3389,5188,5996,740,897,1878,5722,2443,121218,88131
40027,15501176,810198,671415,533304,6023,323609,690635,767388,11532843,23508,2128,5068,3456,3051,3375,3217,8541,29157,31530,8017,4507,4927,28655,6624,1744625,1285359
40119,6231622,257646,284576,267410,996,70511,235127,137900,4894639,11230,822,1470,1163,1298,1327,1607,5618,13931,17374,4631,1480,2634,14532,3700,688148,545639
40049,1081066,34602,90495,236,1970,18603,43066,49156,807975,2755,269,563,352,300,321,712,3886,4559,5767,806,696,2842,7423,3712,118815,90249
40099,465308,8108,57983,97,69,7136,35821,25934,316548,1085,142,261,145,152,153,236,1708,1618,2728,384,197,873,2789,1141,51957,35355
40011,1267072,28207,68142,16055,220,31968,36605,70241,981782,3012,231,620,460,343,381,557,4734,4348,7090,1180,378,2765,4667,3086,140124,109588
40081,1774317,68812,123684,7234,288,9841,70254,28082,1412573,4234,389,701,654,537,399,912,6799,8321,10267,2854,508,2311,10704,3959,192550,157706
40125,4121865,132656,508402,35463,639,29390,179301,90425,3069426,8787,999,1402,1217,1090,1001,1751,7119,11602,14727,3808,1188,2856,14496,4120,454548,342545
40039,2040856,51648,82673,23709,307,65295,58847,111243,1605588,4621,377,1054,660,696,628,847,4447,5805,7530,3204,789,1970,6271,2647,225090,179207
40137,1812554,56478,83478,7695,2104,14155,71033,55862,1482005,4573,389,949,559,468,459,1012,3219,5456,6892,1839,892,2601,7784,2652,200767,165480
40047,3077616,173320,77532,28755,10961,56797,81691,113558,2477329,6250,548,1102,932,871,752,1149,8669,7501,9746,2173,1428,2992,9691,3869,340590,276357
40103,1951167,73308,196918,16664,258,34166,70418,65151,1456891,3884,422,794,652,421,520,666,4387,5279,6803,2451,599,1726,6575,2214,215408,162566
40010,2645272,530445,57768,72307,630,71885,120819,161947,1606527,3238,285,814,766,535,430,423,693,3849,4159,1138,1432,706,3586,890,298177,179107
40029,2808571,86502,148837,27307,393,47968,149776,129126,2177486,4757,503,1119,769,622,660,757,3200,6498,7345,2845,725,2243,6583,2550,313902,242764
40019,1924110,193952,149621,16058,9280,31521,73563,52856,1365826,3752,343,714,442,482,445,821,2725,4208,5167,2022,1493,1251,5317,2251,211797,152400
40085,1858694,202567,153972,16074,9257,35386,64365,58452,1287046,3595,358,725,408,460,436,792,2549,4347,5500,2008,1503,1612,5014,2268,205070,143613
40069,338626,10166,51766,1240,45,9815,12311,12122,225724,848,133,156,94,112,97,220,3803,1602,3923,590,140,832,1924,963,36342,25219
40095,354415,14001,22933,1686,51,24828,13182,36515,230404,854,102,231,91,135,150,256,1181,1708,1575,1130,184,509,1722,987,39233,25750
40013,2475948,86261,256434,16565,394,29865,136428,55136,1845732,5440,482,1071,857,624,582,907,5891,6871,10609,1797,887,1799,9041,2275,272324,206003
40067,206795,6966,7547,20,35,10412,6453,21206,140612,680,85,135,81,71,98,234,1915,1376,1599,285,106,3355,1650,1874,22750,15739
40065,1646624,187632,23640,7523,367,138930,34743,223536,996484,3085,303,1044,515,418,710,953,3389,4069,4152,2259,1279,2774,5786,3033,188124,111231
40141,1121440,167080,51525,10261,194,66644,81119,130304,591175,1635,193,595,261,242,380,398,3210,2752,3630,1077,749,1960,3043,3013,128313,65968
40033,191680,4537,16638,24,21,6913,3267,11102,140810,524,50,107,65,81,57,141,1646,756,1532,158,75,849,1220,1107,20899,15734
40057,88018,16126,1518,20,27,14905,204,21000,29604,154,27,108,38,20,82,36,730,799,592,123,130,739,357,679,9986,3317
40055,269231,10471,3538,259,33,11412,2815,16203,213809,864,113,201,102,84,135,233,1099,2178,1606,453,147,1044,1281,1151,29187,23909
40009,707829,14620,17633,3139,48,16558,4880,29311,603630,1911,188,414,273,311,227,383,1486,2545,3191,938,284,1286,2506,2067,78149,67421
40129,719647,14128,18140,4241,53,16456,3999,28109,615630,2039,199,419,285,313,227,463,2796,2418,2869,1583,278,1231,2324,1447,79381,68772
40043,159857,42,10239,1320,12,1104,2949,2012,131611,548,76,91,49,54,35,174,3246,558,1897,801,33,626,1362,1018,17008,14713
40123,1906668,67480,276754,15336,237,17065,94383,32235,1365089,4062,475,584,533,417,524,848,4407,5657,6828,1684,584,1832,7873,1781,208828,152346
40053,1567234,88837,41202,19487,238,10385,25073,24319,1331561,3105,227,465,495,392,332,673,3970,3625,3993,1039,315,694,5192,1615,172229,148486
40003,452473,6024,5489,103,81,6823,15025,20514,378813,1329,143,179,150,113,161,318,4554,2865,2876,349,97,1532,2142,2793,49558,42311
40093,272566,2484,10352,48,7,4319,5049,14408,218205,849,130,156,131,66,82,245,4431,1659,2693,277,73,1725,1995,3182,29501,24391
40151,435675,5527,5789,92,80,5626,15728,15309,372611,1228,111,180,152,104,158,271,2600,2480,2779,287,85,954,2307,1217,47478,41613
40059,790887,10875,16400,1778,147,25684,8562,48728,660604,1907,215,455,311,236,269,332,2084,2299,3381,629,144,1503,2557,1787,87792,73756
40153,863207,12510,17614,2387,148,20990,10570,44226,732508,2153,233,499,342,251,264,390,4065,3387,3907,886,145,944,3511,1277,95519,81789
40045,105003,29,2841,11,6,1004,1209,2900,91106,385,39,76,45,27,27,117,1611,396,1268,128,17,343,720,698,11389,10185
40007,188982,851,3268,36,25,10016,1919,20610,140402,563,101,177,77,49,66,180,2804,990,1173,242,58,1813,1577,1985,20955,15698
40139,1207912,10032,16890,7705,328,230817,16222,354580,538967,1805,230,1192,440,285,910,537,4050,3021,4895,2518,788,3882,4244,3574,143702,60212
40025,125788,43,4141,1624,13,14306,2214,27804,66903,361,50,166,51,48,103,162,1128,351,1960,1083,113,725,989,1450,14195,7493
40113,7369711,1933468,504640,24953,2736,122756,335615,236436,4098738,11247,1240,2202,1847,1365,1509,2060,9404,15366,18200,5883,6836,5870,19272,8068,814679,457329
40147,2969164,119154,239528,17008,562,27225,160117,73292,2278984,5906,661,1142,933,781,548,1128,4809,7498,10911,2203,975,2283,9431,4085,327654,254225
40143,50694769,6771315,2420881,714561,31198,1478127,2138449,3023949,33579512,69581,7090,17543,12594,10541,11776,9207,25898,87510,94561,31087,26345,22830,84541,25673,5706235,3742965
40037,5519222,418396,441691,35312,4794,53459,282715,127564,4054425,10950,1232,1864,1840,1180,1281,2250,9903,15551,17902,6491,2687,4110,17998,5627,605782,452360
40145,6553622,686675,544962,45350,3141,91496,259497,168409,4659373,10787,1300,2033,1598,1524,1332,1775,7532,14849,17092,5234,3205,3758,16684,6016,724009,519514
40146,2450482,148104,127712,10167,2124,56815,74800,90621,1917660,3508,415,688,622,613,488,346,795,3733,4159,1142,956,608,3598,808,272258,213643
40131,4224124,139700,458960,23561,612,91145,222607,150330,3074469,7015,853,1593,1088,960,833,1182,5429,10109,12095,3441,1227,2063,10633,4219,467808,342766
40035,877721,17340,119704,197,160,2588,79622,15188,619670,1863,309,334,280,220,129,375,3366,2757,4321,603,325,1347,4295,2728,95723,69162
40097,1646965,4327,286719,14749,249,12706,94354,22886,1168290,3687,522,607,503,410,323,880,6047,4904,8131,2632,409,1371,7916,4343,179538,130421
40105,434521,24170,83542,74,66,47,33239,7249,272734,931,130,158,206,83,43,276,2233,2007,3471,305,208,62,2146,1141,47064,30456
40117,760631,10619,110854,1447,125,1598,28949,9455,574049,1724,208,265,283,170,154,448,4806,2810,4989,1021,138,770,4125,1624,82784,64078
40111,1537739,198775,196532,1976,244,10247,81031,13000,1000806,3267,404,490,439,314,377,749,4468,5784,6986,1156,973,1118,6898,1705,167454,111739
40193,123890,813,23138,37,16,15,1764,6,95109,283,36,59,37,18,38,64,492,435,704,75,18,10,693,30,13463,10615
40001,827381,7712,275560,163,87,17051,43610,37950,424243,1589,222,330,248,218,218,445,2581,2457,4156,541,229,1880,3596,2295,90134,47376
40041,1224196,2505,229166,7230,256,13173,82910,20112,835416,2621,398,482,286,308,336,633,4667,3250,6722,1613,351,1715,6586,3460,133257,93257
40115,1710508,1535,212530,311,4629,30248,116245,63303,1242839,3860,493,745,580,540,515,741,4253,4345,7176,1104,1552,2146,7531,3287,188797,138764
40021,2905740,32626,859660,10129,356,50149,200692,90670,1613003,4949,705,1098,716,708,704,1219,5143,5993,9660,2271,956,1858,8678,3797,318677,179972
40101,3184612,519841,362586,23796,1808,36330,164808,63951,1957416,5359,492,1015,732,716,724,964,4805,8505,10545,2598,2656,2476,9099,3390,350323,218407
40121,2053931,91240,210895,7549,1936,19855,120726,49041,1497824,5004,545,773,605,505,500,1104,6861,7017,9453,1852,1725,3656,9379,5886,225569,167252
40091,714650,44217,94163,121,3324,7177,61671,12458,465699,1581,213,237,196,142,136,443,3342,3500,4955,581,2258,1967,3381,2888,77134,51994
