zip,data
27316,6
27332,4
27360,69
27401,58
27405,24
27406,76
27407,1
27409,168
27518,164
27520,104
27525,73
27526,1
27529,3
27540,1
27545,5
27560,6
27591,24
27604,53
27610,1
27616,494
27617,97
27701,7
27804,4
27882,1
27910,2
27948,1
27958,1
28001,15
28012,1
28015,1
28023,1
28025,13
28026,1
28027,250
28031,63
28079,3
28092,31
28103,1
28104,1
28105,1
28107,6
28110,7
28112,1
28115,104
28117,33
28139,2
28146,47
28147,3
28163,1
28173,1
28201,1
28204,4
28205,3
28206,45
28208,9
28212,52
28213,252
28214,12
28215,1
28216,2
28221,67
28226,8
28256,3
28259,3
28262,2
28269,153
28273,4
28278,5
28401,26
28405,3
28432,10
28463,1
28513,1
28590,20
28607,31
28613,4
28625,52
28634,455
28658,163
28677,88
28687,16
28704,14
28712,46
28713,1
28715,1
28716,265
28754,1
28806,72
28864,1
28906,3
29036,1
29045,2
29072,42
29073,1
29112,1
29126,2
29169,17
29170,1
29172,7
29201,41
29203,9
29205,1
29210,3
29212,159
29229,1
29301,11
29303,1
29325,89
29369,1
29407,1
29440,1
29445,1
29461,4
29483,8
29485,1
29501,3
29525,1
29526,29
29528,89
29601,2
29605,140
29607,9
29610,1
29611,1
29624,1
29630,1
29650,8
29651,2
29671,1
29708,2
29732,38
29831,1
29835,2
29910,1
29927,39
30003,1
30004,9
30007,4
30012,4
30013,6
30014,39
30032,2
30035,48
30040,134
30041,25
30043,1
30045,1
30046,2
30047,11
30052,141
30060,69
30062,83
30071,10
30075,1
30080,60
30088,1
30092,10
30093,1
30096,249
30097,14
30101,1
30110,209
30115,1
30116,53
30117,21
30120,3
30129,24
30130,3
30132,1
30139,1
30144,86
30152,1
30161,1
30188,3
30214,16
30223,1
30233,30
30236,3
30248,1
30253,110
30260,70
30263,7
30288,72
30290,1
30297,198
30301,1
30303,1
30313,9
30315,54
30316,41
30318,2
30328,1
30331,2
30336,2433
30337,74
30340,26
30341,5
30344,1
30349,8
30360,1
30417,134
30456,1
30461,1
30501,1
30503,11
30507,7
30510,109
30512,3
30518,350
30519,2
30521,1
30528,109
30533,1
30536,1
30548,4
30549,17
30577,1
30633,1
30635,1
30643,1
30655,3
30680,542
30705,6
30720,2
30728,1
30736,25
30741,1
30824,1
30830,1
30901,1
30906,4
30907,10
30909,12
30917,2
31021,5
31032,1
31046,1
31060,1
31069,1
31088,1
31201,1
31206,32
31210,16
31216,4
31217,10
31407,1
31408,4
31516,10
31522,1
31525,25
31533,17
31601,25
31639,1
31642,4
31701,4
31707,4
31750,1
31774,1
31788,164
31793,26
31794,4
31825,19
31901,59
31906,5
31909,4
32003,1
32024,1
32033,11
32063,38
32068,1
32084,224
32092,1
32095,1
32112,1
32113,18
32114,178
32117,2
32119,1
32127,1
32168,2
32177,99
32192,24
32205,5
32206,1
32207,11
32209,6
32210,196
32211,5
32216,1
32218,128
32220,76
32226,24
32235,1
32241,2
32244,39
32246,1
32254,212
32256,4
32259,11
32303,1
32321,1
32399,1
32405,2
32502,6
32505,3
32506,3
32507,2
32514,1
32526,1
32533,3
32534,11
32548,1
32570,2
32571,1
32577,1
32583,5
32608,1
32609,2
32615,1
32653,4
32669,2
32680,4
32686,1
32703,42
32708,1
32709,1
32720,67
32723,1
32724,1
32726,4
32744,1
32746,1
32750,65
32751,3
32756,1
32757,3
32763,76
32771,349
32773,208
32776,1
32796,1
32801,27
32803,1
32804,314
32805,1
32807,1
32808,126
32809,24
32810,9
32811,1
