zip,data
0,112
01002,1
01005,34
01020,1
01030,3
01040,1
01075,1
01077,1
01085,1
01095,1
01109,152
01119,48
01201,95
01225,1
01235,1
01420,1
01452,2
01535,1
01545,1
01585,1
01605,98
01720,1
01747,1
01749,1
01754,1
01757,1
01772,1
01776,1
01801,1
01803,1
01824,1
01826,1
01844,3
01845,1
01854,1
01862,413
01863,118
01867,1
01876,1
01887,1
01890,1
01930,1
01960,1
01970,2
02019,68
02021,2
02035,482
02093,1
02109,1
02124,1
02127,1
02143,125
02155,1
02169,1
02188,1
02189,1
02301,168
02324,1
02356,1
02375,1
02446,1
02474,1
02482,1
02632,2
02673,2
02718,1
02719,2
02724,2
02726,1
02760,2
02764,1
02769,1
02770,1
02808,1
02813,1
02814,1
02818,1
02831,1
02852,271
02861,19
02888,1
02893,1
02908,1
02910,1
02919,1
02920,2
02921,3
03038,2
03045,1
03051,1
03053,1
03054,41
03079,2
03087,94
03102,78
03103,227
03106,139
03229,1
03251,1
03253,160
03275,577
03301,16
03303,1
03449,1
03766,119
03801,1
03833,1
03862,60
03873,3
04011,1
04040,1
04042,1
04047,1
04084,1
04270,1
04330,145
04401,1
04474,1
04568,1
04862,1
04901,1
04942,1
05301,2
05462,1
05473,2
05489,1
05658,1
05701,1
05855,1
06001,1
06010,1
06013,1
06032,1
06057,6
06070,1
06076,82
06082,112
06084,1
06090,1
06092,1
06095,2
06098,6
06108,185
06119,1
06120,103
06237,52
06238,1
06260,1
06331,1
06339,1
06340,81
06360,1
06379,1
06405,57
06422,1
06424,1
06457,1
06470,2
06472,1
06473,1
06479,1
06484,1
06489,1
06511,138
06512,1
06610,1
06705,8
06712,1
06716,2
06757,1
06779,1
06798,1
06804,97
06810,141
06811,206
06812,1
06830,1
06870,1
06877,1
06896,1
06902,6
06907,1
07003,1
07013,2
07033,1
07036,2
07052,1
07055,25
07057,1
07065,1
07067,1
07068,1
07070,1
07080,1
07083,18
07086,1
07095,1
07109,461
07201,1
07203,1
07305,1
07407,4
07424,1
07436,2
07444,3
07446,1
07461,61
07481,1
07502,1
07601,1
07607,1
07621,1
07643,1
07647,27
07662,188
07666,1
07676,1
07701,1
07712,1
07726,1
07728,3
07731,1
07740,1
07747,2
07748,195
07753,95
07764,2
07821,389
07828,1
07836,1
07840,1
07844,55
07848,7
07851,2
07852,103
07853,1
07866,1
07876,1
07901,1
07927,1
07932,1
07936,8
07960,2
08012,1
08016,1
08021,1
08028,5
08030,1
08034,1
08043,2
08048,1
08050,1
08054,2
08059,181
08067,1
08075,1
08077,2
08081,1
08088,150
08091,12
08095,1
08096,223
08106,1
08117,1
08202,1
08210,1
08225,1
08226,1
08234,1
08251,1
08270,1
08330,1
08343,1
08360,1
08510,1
08511,1
08520,1
08527,1
08534,1
08535,1
08536,1
08610,1
08628,1
08641,1
08701,24
08724,1
08742,1
08753,3
08757,1
08807,1
08816,1
08822,108
